ip,abuseConfidenceScore,levels
92.223.77.53,0,AbuseIPDB
92.223.100.253,0,AbuseIPDB
173.245.58.229,0,AbuseIPDB
95.140.83.1,0,AbuseIPDB
211.216.50.170,0,AbuseIPDB
187.85.152.30,0,AbuseIPDB
52.82.178.202,0,AbuseIPDB
13.107.238.2,0,AbuseIPDB
49.45.43.42,0,AbuseIPDB
45.13.3.140,0,AbuseIPDB
169.239.181.21,0,AbuseIPDB
149.20.191.78,0,AbuseIPDB
103.87.42.33,0,AbuseIPDB
205.251.196.252,0,AbuseIPDB
208.90.58.37,0,AbuseIPDB
208.90.58.36,0,AbuseIPDB
185.226.124.29,0,AbuseIPDB
208.100.4.52,0,AbuseIPDB
193.231.236.17,0,AbuseIPDB
185.169.154.98,0,AbuseIPDB
104.225.4.101,0,AbuseIPDB
91.132.66.165,0,AbuseIPDB
54.222.38.10,0,AbuseIPDB
176.65.149.242,23,AbuseIPDB
123.176.101.250,0,AbuseIPDB
203.27.235.238,0,AbuseIPDB
204.74.66.1,0,AbuseIPDB
205.251.193.189,0,AbuseIPDB
192.112.36.4,0,AbuseIPDB
205.251.199.140,0,AbuseIPDB
208.69.39.2,0,AbuseIPDB
154.52.16.79,0,AbuseIPDB
201.248.77.6,0,AbuseIPDB
49.45.43.43,0,AbuseIPDB
149.20.191.77,0,AbuseIPDB
185.106.62.2,0,AbuseIPDB
37.123.210.211,0,AbuseIPDB
205.251.199.48,0,AbuseIPDB
213.251.128.152,0,AbuseIPDB
205.251.193.238,0,AbuseIPDB
91.223.3.247,0,AbuseIPDB
205.251.195.154,0,AbuseIPDB
81.17.29.252,0,AbuseIPDB
203.142.100.21,0,AbuseIPDB
205.251.199.85,0,AbuseIPDB
205.251.192.68,0,AbuseIPDB
183.240.14.206,0,AbuseIPDB
192.228.79.201,0,AbuseIPDB
199.7.91.13,0,AbuseIPDB
205.251.194.129,0,AbuseIPDB
185.25.51.239,0,AbuseIPDB
195.123.224.174,0,AbuseIPDB
205.251.196.189,0,AbuseIPDB
203.119.29.3,0,AbuseIPDB
170.247.170.2,0,AbuseIPDB
184.94.240.167,0,AbuseIPDB
193.61.84.61,0,AbuseIPDB
184.94.240.168,0,AbuseIPDB
193.63.105.17,0,AbuseIPDB
193.61.84.62,0,AbuseIPDB
154.11.136.130,0,AbuseIPDB
51.195.116.88,0,AbuseIPDB
172.20.10.1,0,AbuseIPDB
203.10.96.45,0,AbuseIPDB
204.69.234.1,0,AbuseIPDB
204.74.108.252,0,AbuseIPDB
205.251.193.90,0,AbuseIPDB
134.0.202.5,0,AbuseIPDB
121.242.123.138,0,AbuseIPDB
212.72.21.97,0,AbuseIPDB
111.93.223.138,0,AbuseIPDB
115.113.92.133,0,AbuseIPDB
45.79.197.241,0,AbuseIPDB
8.143.241.249,0,AbuseIPDB
195.24.205.60,0,AbuseIPDB
195.24.205.61,0,AbuseIPDB
216.239.36.107,0,AbuseIPDB
111.93.222.138,0,AbuseIPDB
115.113.92.138,0,AbuseIPDB
64.78.204.1,0,AbuseIPDB
198.143.62.9,0,AbuseIPDB
99.83.204.242,0,AbuseIPDB
108.162.193.223,0,AbuseIPDB
173.245.59.223,0,AbuseIPDB
108.162.192.241,0,AbuseIPDB
172.64.33.223,0,AbuseIPDB
173.245.58.241,0,AbuseIPDB
172.64.32.241,0,AbuseIPDB
50.28.104.44,0,AbuseIPDB
15.197.148.211,2,AbuseIPDB
185.27.88.50,0,AbuseIPDB
194.0.9.1,0,AbuseIPDB
196.216.168.67,0,AbuseIPDB
128.223.32.35,0,AbuseIPDB
198.143.62.200,0,AbuseIPDB
198.143.62.7,0,AbuseIPDB
185.67.32.53,0,AbuseIPDB
167.246.0.200,0,AbuseIPDB
193.0.9.9,0,AbuseIPDB
199.254.59.1,0,AbuseIPDB
13.107.208.2,0,AbuseIPDB
13.107.208.1,0,AbuseIPDB
199.9.14.201,0,AbuseIPDB
157.20.147.250,0,AbuseIPDB
205.251.194.106,0,AbuseIPDB
205.251.197.109,0,AbuseIPDB
205.251.193.173,0,AbuseIPDB
205.251.199.91,0,AbuseIPDB
185.136.96.96,0,AbuseIPDB
185.136.99.96,0,AbuseIPDB
103.137.60.203,0,AbuseIPDB
118.174.11.132,0,AbuseIPDB
205.251.194.236,0,AbuseIPDB
139.177.139.84,0,AbuseIPDB
139.177.139.85,0,AbuseIPDB
45.125.66.11,30,AbuseIPDB
185.136.98.96,0,AbuseIPDB
185.136.97.96,0,AbuseIPDB
202.112.47.48,0,AbuseIPDB
147.135.0.1,0,AbuseIPDB
210.245.0.10,0,AbuseIPDB
3.227.90.38,0,AbuseIPDB
36.66.2.132,0,AbuseIPDB
36.66.2.131,0,AbuseIPDB
177.8.248.45,0,AbuseIPDB
178.238.234.231,0,AbuseIPDB
205.251.197.147,0,AbuseIPDB
205.251.198.140,0,AbuseIPDB
162.159.24.11,0,AbuseIPDB
77.37.255.1,0,AbuseIPDB
203.74.116.215,0,AbuseIPDB
91.205.184.10,0,AbuseIPDB
192.58.206.184,0,AbuseIPDB
203.74.116.214,0,AbuseIPDB
103.19.177.177,0,AbuseIPDB
205.251.196.1,0,AbuseIPDB
185.123.53.175,0,AbuseIPDB
162.223.120.37,0,AbuseIPDB
222.173.115.50,0,AbuseIPDB
205.251.196.153,0,AbuseIPDB
213.131.232.51,0,AbuseIPDB
218.102.23.230,0,AbuseIPDB
52.41.120.130,0,AbuseIPDB
23.61.199.65,0,AbuseIPDB
23.211.132.66,0,AbuseIPDB
199.43.135.53,0,AbuseIPDB
136.143.172.88,0,AbuseIPDB
69.64.44.52,0,AbuseIPDB
71.252.0.72,0,AbuseIPDB
205.251.198.31,0,AbuseIPDB
176.123.1.50,0,AbuseIPDB
200.50.248.11,0,AbuseIPDB
62.217.193.65,0,AbuseIPDB
202.102.227.94,0,AbuseIPDB
203.119.26.3,0,AbuseIPDB
205.251.195.172,0,AbuseIPDB
8.132.34.120,0,AbuseIPDB
108.59.164.24,0,AbuseIPDB
222.222.222.213,0,AbuseIPDB
200.37.10.34,0,AbuseIPDB
64.190.113.127,0,AbuseIPDB
205.251.198.236,0,AbuseIPDB
193.108.91.156,0,AbuseIPDB
95.100.174.67,0,AbuseIPDB
221.4.9.48,0,AbuseIPDB
192.58.207.169,0,AbuseIPDB
185.175.158.240,0,AbuseIPDB
200.37.195.10,0,AbuseIPDB
5.252.116.111,0,AbuseIPDB
51.79.189.197,0,AbuseIPDB
203.119.25.3,0,AbuseIPDB
182.16.16.8,0,AbuseIPDB
205.251.193.176,0,AbuseIPDB
205.251.195.220,0,AbuseIPDB
205.251.199.32,0,AbuseIPDB
209.244.0.11,0,AbuseIPDB
62.138.193.86,0,AbuseIPDB
213.251.188.145,0,AbuseIPDB
205.251.192.88,0,AbuseIPDB
43.201.170.100,0,AbuseIPDB
44.230.89.211,0,AbuseIPDB
185.82.209.10,0,AbuseIPDB
202.52.172.218,0,AbuseIPDB
205.251.192.67,0,AbuseIPDB
205.251.195.131,0,AbuseIPDB
205.251.195.236,0,AbuseIPDB
218.176.253.104,0,AbuseIPDB
92.246.84.7,0,AbuseIPDB
205.251.193.156,0,AbuseIPDB
24.216.90.2,0,AbuseIPDB
205.251.196.32,0,AbuseIPDB
205.251.199.126,0,AbuseIPDB
205.251.196.68,0,AbuseIPDB
195.123.233.95,0,AbuseIPDB
203.119.27.1,0,AbuseIPDB
205.251.192.87,0,AbuseIPDB
203.113.188.2,0,AbuseIPDB
94.249.135.30,0,AbuseIPDB
199.187.175.22,0,AbuseIPDB
200.61.33.3,0,AbuseIPDB
205.251.195.185,0,AbuseIPDB
96.45.36.48,0,AbuseIPDB
205.251.198.9,0,AbuseIPDB
124.40.225.34,0,AbuseIPDB
203.74.116.212,0,AbuseIPDB
192.174.68.12,0,AbuseIPDB
160.30.234.6,0,AbuseIPDB
202.100.128.78,0,AbuseIPDB
103.8.46.9,0,AbuseIPDB
103.8.46.5,0,AbuseIPDB
103.8.45.9,0,AbuseIPDB
213.108.4.5,0,AbuseIPDB
